machine_id,timestamp,temperature,vibration,pressure,status_code
M001,2024-05-13T10:09:04Z,65.4,0.09,99.3,AOK
M002,2024-05-13T10:08:58Z,91.9,0.55,101.8,WARN
M003,2024-05-13T10:09:00Z,75.4,0.68,99.5,WARN
M004,2024-05-13T10:09:12Z,83.5,0.31,97.9,WARN
M005,2024-05-13T10:09:10Z,82.5,0.17,99.8,AOK
M006,2024-05-13T10:09:21Z,77.9,0.06,100.9,AOK
M007,2024-05-13T10:09:28Z,69.2,0.11,103.4,AOK
M008,2024-05-13T10:09:17Z,80.3,0.12,100.2,AOK
M009,2024-05-13T10:09:45Z,73.5,0.13,99.4,AOK
M010,2024-05-13T10:09:49Z,72.9,0.06,100.5,AOK
M001,2024-05-13T10:10:57Z,65.4,0.06,99.8,AOK
M002,2024-05-13T10:11:05Z,83.7,0.55,102.1,WARN
M003,2024-05-13T10:11:08Z,77.5,0.60,99.8,WARN
M004,2024-05-13T10:10:59Z,85.2,0.29,99.0,WARN
M005,2024-05-13T10:11:03Z,78.3,0.17,99.4,AOK
M006,2024-05-13T10:11:17Z,79.6,0.07,100.8,AOK
M007,2024-05-13T10:11:17Z,70.3,0.09,103.1,AOK
M008,2024-05-13T10:11:28Z,84.0,0.13,99.7,AOK
M009,2024-05-13T10:11:06Z,74.5,0.15,99.5,AOK
M010,2024-05-13T10:11:42Z,75.0,0.05,101.1,AOK
M001,2024-05-13T10:12:02Z,71.2,0.07,99.5,AOK
M002,2024-05-13T10:12:05Z,75.3,0.55,101.9,WARN
M003,2024-05-13T10:12:05Z,79.6,0.13,100.3,AOK
M004,2024-05-13T10:12:13Z,83.9,0.31,98.5,AOK
M005,2024-05-13T10:12:17Z,72.3,0.18,99.9,AOK
M006,2024-05-13T10:12:15Z,74.8,0.08,100.5,AOK
M007,2024-05-13T10:12:26Z,69.2,0.10,103.0,AOK
M008,2024-05-13T10:12:16Z,80.8,0.12,100.5,AOK
M009,2024-05-13T10:12:07Z,73.9,0.17,105.6,WARN
M010,2024-05-13T10:12:15Z,76.4,0.04,100.1,AOK
M001,2024-05-13T10:12:55Z,74.2,0.10,99.1,AOK
M002,2024-05-13T10:13:08Z,79.9,0.56,101.6,WARN
M003,2024-05-13T10:13:11Z,78.8,0.15,99.5,AOK
M004,2024-05-13T10:13:02Z,83.7,0.30,98.6,AOK
M005,2024-05-13T10:13:01Z,80.1,0.12,100.6,AOK
M006,2024-05-13T10:13:01Z,80.2,0.09,100.7,AOK
M007,2024-05-13T10:13:35Z,68.2,0.10,102.5,AOK
M008,2024-05-13T10:13:30Z,80.9,0.10,99.3,AOK
M009,2024-05-13T10:13:29Z,73.1,0.17,98.8,AOK
M010,2024-05-13T10:13:31Z,72.4,0.04,100.2,AOK
M001,2024-05-13T10:15:01Z,66.4,0.07,99.8,AOK
M002,2024-05-13T10:15:01Z,82.6,0.56,101.7,WARN
M003,2024-05-13T10:15:10Z,79.1,0.18,100.9,AOK
M004,2024-05-13T10:15:03Z,83.9,0.36,98.1,AOK
M005,2024-05-13T10:15:00Z,76.9,0.12,100.2,AOK
M006,2024-05-13T10:15:25Z,76.0,0.09,100.5,AOK
M007,2024-05-13T10:15:03Z,69.2,0.10,101.5,AOK
M008,2024-05-13T10:15:31Z,77.7,0.14,99.9,AOK
M009,2024-05-13T10:15:29Z,73.9,0.61,99.4,WARN
M010,2024-05-13T10:15:06Z,74.8,0.02,100.0,AOK
M001,2024-05-13T10:17:04Z,67.0,0.14,99.2,AOK
M002,2024-05-13T10:17:06Z,90.3,0.53,102.2,WARN
M003,2024-05-13T10:17:10Z,75.7,0.13,100.6,AOK
M004,2024-05-13T10:17:12Z,90.7,0.36,98.8,WARN
M005,2024-05-13T10:17:14Z,74.5,0.12,99.6,AOK
M006,2024-05-13T10:17:00Z,77.5,0.08,101.0,AOK
M007,2024-05-13T10:17:21Z,70.2,0.09,100.8,AOK
M008,2024-05-13T10:17:03Z,80.4,0.10,98.8,AOK
M009,2024-05-13T10:17:11Z,74.6,0.20,98.8,AOK
M010,2024-05-13T10:17:41Z,71.2,0.08,100.4,AOK
M001,2024-05-13T10:18:05Z,67.8,0.04,90.7,CRIT
M002,2024-05-13T10:17:59Z,75.5,0.54,101.0,AOK
M003,2024-05-13T10:18:09Z,75.5,0.05,100.8,AOK
M004,2024-05-13T10:18:03Z,82.5,0.31,99.2,AOK
M005,2024-05-13T10:18:16Z,77.3,0.16,100.1,AOK
M006,2024-05-13T10:18:02Z,79.5,0.08,100.8,AOK
M007,2024-05-13T10:18:01Z,69.4,0.11,103.3,AOK
M008,2024-05-13T10:18:27Z,76.9,0.08,106.9,WARN
M009,2024-05-13T10:18:07Z,73.6,0.19,100.2,AOK
M010,2024-05-13T10:18:19Z,70.6,0.14,100.8,AOK
M001,2024-05-13T10:19:02Z,67.0,0.08,98.8,AOK
M002,2024-05-13T10:19:04Z,85.6,0.54,99.8,WARN
M003,2024-05-13T10:19:03Z,76.0,0.04,100.2,AOK
M004,2024-05-13T10:19:07Z,85.7,0.29,99.0,WARN
M005,2024-05-13T10:19:20Z,71.8,0.21,99.6,AOK
M006,2024-05-13T10:19:30Z,78.6,0.09,100.6,AOK
M007,2024-05-13T10:19:24Z,70.9,0.09,103.0,AOK
M008,2024-05-13T10:19:28Z,76.0,0.10,100.6,AOK
M009,2024-05-13T10:19:16Z,72.9,0.20,98.8,AOK
M010,2024-05-13T10:19:20Z,74.6,0.04,100.1,AOK
M001,2024-05-13T10:21:00Z,73.0,0.04,100.1,AOK
M002,2024-05-13T10:21:02Z,76.2,0.54,100.6,AOK
M003,2024-05-13T10:21:07Z,74.6,0.10,100.0,AOK
M004,2024-05-13T10:21:04Z,88.3,0.29,98.7,WARN
M005,2024-05-13T10:21:24Z,73.5,0.15,99.4,AOK
M006,2024-05-13T10:21:16Z,76.3,0.09,100.9,AOK
M007,2024-05-13T10:21:12Z,67.3,0.10,102.5,AOK
M008,2024-05-13T10:21:31Z,79.1,0.08,101.1,AOK
M009,2024-05-13T10:21:07Z,73.9,0.16,99.0,AOK
M010,2024-05-13T10:21:04Z,71.6,0.05,100.6,AOK
M001,2024-05-13T10:22:05Z,69.3,0.01,99.8,AOK
M002,2024-05-13T10:22:04Z,76.0,0.54,97.3,WARN
M003,2024-05-13T10:22:11Z,76.3,0.14,101.1,AOK
M004,2024-05-13T10:22:06Z,85.8,0.32,98.3,WARN
M005,2024-05-13T10:22:17Z,78.6,0.13,100.2,AOK
M006,2024-05-13T10:22:28Z,77.6,0.09,100.5,AOK
M007,2024-05-13T10:22:02Z,68.5,0.09,102.6,AOK
M008,2024-05-13T10:22:13Z,82.4,0.14,100.1,AOK
M009,2024-05-13T10:22:04Z,74.9,0.24,98.3,AOK
M010,2024-05-13T10:22:23Z,75.5,0.12,99.8,AOK
M001,2024-05-13T10:24:01Z,68.8,0.01,98.9,AOK
M002,2024-05-13T10:24:05Z,82.3,0.54,101.0,AOK
M003,2024-05-13T10:24:09Z,78.6,0.14,100.1,AOK
M004,2024-05-13T10:23:59Z,87.3,0.33,98.8,WARN
M005,2024-05-13T10:24:08Z,72.0,0.16,101.0,AOK
M006,2024-05-13T10:24:02Z,77.7,0.07,100.7,AOK
M007,2024-05-13T10:24:10Z,69.8,0.08,102.3,AOK
M008,2024-05-13T10:24:24Z,74.7,0.14,99.7,AOK
M009,2024-05-13T10:24:23Z,73.7,0.14,98.7,AOK
M010,2024-05-13T10:24:21Z,89.5,0.02,100.1,WARN
M001,2024-05-13T10:25:05Z,65.2,0.10,99.7,AOK
M002,2024-05-13T10:25:05Z,78.0,0.55,102.8,WARN
M003,2024-05-13T10:25:09Z,76.6,0.11,99.1,AOK
M004,2024-05-13T10:25:11Z,86.3,0.28,98.9,WARN
M005,2024-05-13T10:25:13Z,72.4,0.11,99.8,AOK
M006,2024-05-13T10:25:14Z,78.4,0.09,100.8,AOK
M007,2024-05-13T10:25:31Z,68.6,0.11,101.8,AOK
M008,2024-05-13T10:25:15Z,78.6,0.11,99.8,AOK
M009,2024-05-13T10:25:37Z,74.4,0.20,98.0,WARN
M010,2024-05-13T10:25:29Z,73.5,0.02,100.0,AOK
M001,2024-05-13T10:26:55Z,66.8,0.03,99.1,AOK
M002,2024-05-13T10:27:00Z,78.8,0.57,101.8,WARN
M003,2024-05-13T10:27:07Z,77.3,0.12,96.2,WARN
M004,2024-05-13T10:26:59Z,85.7,0.30,98.6,WARN
M005,2024-05-13T10:27:01Z,73.6,0.17,100.0,AOK
M006,2024-05-13T10:27:15Z,75.2,0.07,100.6,AOK
M007,2024-05-13T10:27:16Z,66.9,0.11,102.6,AOK
M008,2024-05-13T10:27:02Z,82.8,0.11,106.2,WARN
M009,2024-05-13T10:27:40Z,73.7,0.14,98.4,AOK
M010,2024-05-13T10:27:31Z,70.6,0.06,100.5,AOK
M001,2024-05-13T10:29:03Z,66.3,0.09,99.9,AOK
M002,2024-05-13T10:29:05Z,83.6,0.53,100.7,AOK
M003,2024-05-13T10:29:07Z,75.5,0.16,100.0,AOK
M004,2024-05-13T10:29:16Z,84.5,0.28,98.4,AOK
M005,2024-05-13T10:29:25Z,77.2,0.25,99.3,AOK
M006,2024-05-13T10:29:26Z,77.2,0.08,100.7,AOK
M007,2024-05-13T10:29:29Z,67.6,0.09,102.1,AOK
M008,2024-05-13T10:29:03Z,77.4,0.11,100.6,AOK
M009,2024-05-13T10:29:07Z,73.0,0.17,99.9,AOK
M010,2024-05-13T10:29:48Z,75.3,0.07,100.9,AOK
M001,2024-05-13T10:29:56Z,71.4,0.02,100.1,AOK
M002,2024-05-13T10:29:59Z,82.4,0.54,101.8,AOK
M003,2024-05-13T10:30:11Z,76.5,0.19,100.7,AOK
M004,2024-05-13T10:30:03Z,85.2,0.33,96.2,WARN
M005,2024-05-13T10:30:05Z,75.2,0.15,99.0,AOK
M006,2024-05-13T10:30:01Z,75.7,0.10,112.8,CRIT
M007,2024-05-13T10:30:24Z,70.6,0.11,102.5,AOK
M008,2024-05-13T10:30:21Z,78.0,0.10,100.0,AOK
M009,2024-05-13T10:30:10Z,74.3,0.14,99.2,AOK
M010,2024-05-13T10:30:22Z,71.5,0.07,100.8,AOK
M001,2024-05-13T10:31:58Z,67.9,0.13,99.2,AOK
M002,2024-05-13T10:32:02Z,79.1,0.56,101.9,WARN
M003,2024-05-13T10:32:08Z,75.1,0.10,99.1,AOK
M004,2024-05-13T10:32:02Z,84.5,0.60,98.7,WARN
M005,2024-05-13T10:32:16Z,79.6,0.15,100.7,AOK
M006,2024-05-13T10:32:11Z,77.0,0.09,100.5,AOK
M007,2024-05-13T10:32:22Z,68.1,0.12,102.4,AOK
M008,2024-05-13T10:32:17Z,84.7,0.14,99.9,AOK
M009,2024-05-13T10:32:32Z,73.6,0.15,99.0,AOK
M010,2024-05-13T10:32:13Z,73.0,0.01,100.9,AOK
M001,2024-05-13T10:32:58Z,68.5,0.01,99.9,AOK
M002,2024-05-13T10:33:03Z,76.3,0.54,101.0,AOK
M003,2024-05-13T10:33:13Z,78.0,0.11,100.2,AOK
M004,2024-05-13T10:33:01Z,84.2,0.58,98.5,WARN
M005,2024-05-13T10:33:00Z,78.3,0.17,99.5,AOK
M006,2024-05-13T10:33:27Z,79.5,0.07,100.6,AOK
M007,2024-05-13T10:33:14Z,70.1,0.10,101.8,AOK
M008,2024-05-13T10:33:08Z,75.3,0.15,98.9,AOK
M009,2024-05-13T10:33:13Z,74.6,0.21,106.6,WARN
M010,2024-05-13T10:33:04Z,78.7,0.09,100.8,AOK
M001,2024-05-13T10:33:57Z,64.6,0.04,100.2,AOK
M002,2024-05-13T10:34:00Z,83.5,0.56,101.7,WARN
M003,2024-05-13T10:33:58Z,78.9,0.09,99.4,AOK
M004,2024-05-13T10:34:01Z,87.9,0.26,98.4,WARN
M005,2024-05-13T10:34:07Z,76.3,0.15,100.1,AOK
M006,2024-05-13T10:34:05Z,79.5,0.10,100.4,AOK
M007,2024-05-13T10:34:08Z,69.0,0.11,103.4,AOK
M008,2024-05-13T10:34:31Z,78.2,0.10,99.4,AOK
M009,2024-05-13T10:34:44Z,73.7,0.17,99.4,AOK
M010,2024-05-13T10:34:27Z,75.5,0.04,100.2,AOK
M001,2024-05-13T10:34:55Z,67.6,0.11,99.9,AOK
M002,2024-05-13T10:35:01Z,85.7,0.55,101.9,WARN
M003,2024-05-13T10:35:12Z,75.5,0.12,100.8,AOK
M004,2024-05-13T10:35:07Z,86.5,0.33,99.1,WARN
M005,2024-05-13T10:35:16Z,72.5,0.17,100.4,AOK
M006,2024-05-13T10:35:08Z,79.8,0.08,100.6,AOK
M007,2024-05-13T10:35:01Z,67.3,0.10,102.8,AOK
M008,2024-05-13T10:35:18Z,75.4,0.11,99.7,AOK
M009,2024-05-13T10:35:29Z,74.9,0.22,98.8,AOK
M010,2024-05-13T10:35:40Z,77.8,0.04,100.5,AOK
M001,2024-05-13T10:36:05Z,69.8,0.10,99.8,AOK
M002,2024-05-13T10:36:01Z,79.1,0.55,100.3,WARN
M003,2024-05-13T10:36:01Z,75.5,0.18,100.7,AOK
M004,2024-05-13T10:36:17Z,86.5,0.30,97.8,WARN
M005,2024-05-13T10:36:20Z,74.7,0.13,100.2,AOK
M006,2024-05-13T10:36:08Z,75.9,0.07,100.7,AOK
M007,2024-05-13T10:36:27Z,69.4,0.08,102.7,AOK
M008,2024-05-13T10:36:26Z,81.1,0.11,100.1,AOK
M009,2024-05-13T10:36:27Z,74.9,0.13,98.9,AOK
M010,2024-05-13T10:36:41Z,72.6,0.07,100.4,AOK
M001,2024-05-13T10:37:03Z,70.9,0.01,99.7,AOK
M002,2024-05-13T10:37:09Z,80.9,0.55,106.1,WARN
M003,2024-05-13T10:37:07Z,77.0,0.14,99.8,AOK
M004,2024-05-13T10:37:08Z,85.7,0.21,98.4,WARN
M005,2024-05-13T10:37:23Z,75.2,0.16,100.1,AOK
M006,2024-05-13T10:37:10Z,77.2,0.07,100.7,AOK
M007,2024-05-13T10:37:22Z,70.7,0.10,102.6,AOK
M008,2024-05-13T10:37:18Z,78.7,0.13,100.0,AOK
M009,2024-05-13T10:37:34Z,76.5,0.12,98.6,AOK
M010,2024-05-13T10:37:12Z,90.1,0.11,99.7,WARN
M001,2024-05-13T10:37:59Z,67.9,0.04,100.4,AOK
M002,2024-05-13T10:38:04Z,78.5,0.55,100.4,WARN
M003,2024-05-13T10:38:06Z,76.8,0.16,99.8,AOK
M004,2024-05-13T10:38:17Z,84.1,0.29,98.6,AOK
M005,2024-05-13T10:38:10Z,72.6,0.15,100.2,AOK
M006,2024-05-13T10:38:06Z,76.1,0.10,100.8,AOK
M007,2024-05-13T10:38:21Z,69.1,0.11,101.8,AOK
M008,2024-05-13T10:38:40Z,79.7,0.16,100.2,AOK
M009,2024-05-13T10:38:29Z,73.7,0.18,100.1,AOK
M010,2024-05-13T10:38:41Z,75.1,0.07,100.4,AOK
M001,2024-05-13T10:40:05Z,68.8,0.08,98.9,AOK
M002,2024-05-13T10:40:03Z,76.9,0.54,101.2,AOK
M003,2024-05-13T10:39:57Z,75.6,0.10,99.8,AOK
M004,2024-05-13T10:40:00Z,85.5,0.30,98.2,WARN
M005,2024-05-13T10:40:23Z,70.6,0.19,100.0,AOK
M006,2024-05-13T10:40:03Z,81.4,0.08,100.7,AOK
M007,2024-05-13T10:40:14Z,67.2,0.11,102.5,AOK
M008,2024-05-13T10:40:06Z,80.3,0.13,97.0,WARN
M009,2024-05-13T10:40:10Z,74.4,0.22,98.4,AOK
M010,2024-05-13T10:40:43Z,74.4,0.55,100.5,WARN
M001,2024-05-13T10:41:59Z,66.0,0.01,99.9,AOK
M002,2024-05-13T10:41:56Z,76.9,0.54,103.4,AOK
M003,2024-05-13T10:42:03Z,74.9,0.13,101.1,AOK
M004,2024-05-13T10:42:12Z,84.5,0.28,99.1,AOK
M005,2024-05-13T10:42:00Z,72.8,0.13,99.6,AOK
M006,2024-05-13T10:42:06Z,79.7,0.09,100.6,AOK
M007,2024-05-13T10:42:28Z,69.0,0.95,102.6,CRIT
M008,2024-05-13T10:42:25Z,84.8,0.12,99.8,AOK
M009,2024-05-13T10:42:13Z,73.7,0.19,98.8,AOK
M010,2024-05-13T10:42:04Z,72.5,0.03,100.2,AOK
M001,2024-05-13T10:42:56Z,66.9,0.02,100.3,AOK
M002,2024-05-13T10:43:09Z,87.1,0.53,101.6,WARN
M003,2024-05-13T10:43:02Z,78.4,0.08,100.2,AOK
M004,2024-05-13T10:43:15Z,88.2,0.30,98.7,WARN
M005,2024-05-13T10:43:16Z,74.6,0.15,99.8,AOK
M006,2024-05-13T10:43:23Z,75.7,0.09,100.4,AOK
M007,2024-05-13T10:43:01Z,69.0,0.10,102.0,AOK
M008,2024-05-13T10:43:11Z,83.1,0.15,100.2,AOK
M009,2024-05-13T10:43:03Z,74.4,0.16,98.9,AOK
M010,2024-05-13T10:43:14Z,72.0,0.03,100.7,AOK
M001,2024-05-13T10:45:00Z,70.7,0.05,99.6,AOK
M002,2024-05-13T10:45:03Z,84.9,0.56,101.4,WARN
M003,2024-05-13T10:45:08Z,76.4,0.11,101.1,AOK
M004,2024-05-13T10:45:13Z,86.3,0.33,98.6,WARN
M005,2024-05-13T10:45:16Z,72.2,0.17,99.5,AOK
M006,2024-05-13T10:45:07Z,80.4,0.10,101.0,AOK
M007,2024-05-13T10:45:07Z,69.0,0.11,101.4,AOK
M008,2024-05-13T10:45:30Z,82.2,0.10,100.0,AOK
M009,2024-05-13T10:45:28Z,74.0,0.16,98.4,AOK
M010,2024-05-13T10:45:23Z,74.2,0.04,99.8,AOK
M001,2024-05-13T10:46:03Z,66.6,0.06,100.2,AOK
M002,2024-05-13T10:46:05Z,76.5,0.55,101.1,WARN
M003,2024-05-13T10:46:03Z,72.9,0.15,100.9,AOK
M004,2024-05-13T10:46:14Z,84.7,0.33,98.0,WARN
M005,2024-05-13T10:46:03Z,73.8,0.22,97.0,WARN
M006,2024-05-13T10:46:16Z,79.1,0.08,100.5,AOK
M007,2024-05-13T10:46:07Z,68.3,0.10,102.2,AOK
M008,2024-05-13T10:46:07Z,83.1,0.10,99.9,AOK
M009,2024-05-13T10:46:19Z,74.2,0.17,98.1,AOK
M010,2024-05-13T10:46:30Z,75.0,0.04,100.6,AOK
M001,2024-05-13T10:47:04Z,68.7,0.01,99.4,AOK
M002,2024-05-13T10:46:59Z,79.5,0.54,100.9,AOK
M003,2024-05-13T10:47:04Z,88.4,0.08,100.3,WARN
M004,2024-05-13T10:47:03Z,86.5,0.26,98.6,WARN
M005,2024-05-13T10:47:12Z,71.9,0.18,100.3,AOK
M006,2024-05-13T10:47:24Z,76.4,0.09,100.5,AOK
M007,2024-05-13T10:47:13Z,70.7,0.10,101.9,AOK
M008,2024-05-13T10:47:29Z,83.8,0.09,99.6,AOK
M009,2024-05-13T10:47:32Z,74.8,0.15,99.0,AOK
M010,2024-05-13T10:47:09Z,73.3,0.07,101.0,AOK
M001,2024-05-13T10:47:55Z,68.5,0.01,99.8,AOK
M002,2024-05-13T10:48:01Z,84.0,0.55,102.5,WARN
M003,2024-05-13T10:48:06Z,75.8,0.15,99.3,AOK
M004,2024-05-13T10:48:10Z,85.5,0.34,98.4,WARN
M005,2024-05-13T10:48:00Z,73.4,0.20,99.9,AOK
M006,2024-05-13T10:48:24Z,78.3,0.08,100.8,AOK
M007,2024-05-13T10:48:17Z,68.5,0.10,101.7,AOK
M008,2024-05-13T10:48:23Z,80.4,0.11,99.8,AOK
M009,2024-05-13T10:48:23Z,74.5,0.15,98.8,AOK
M010,2024-05-13T10:48:50Z,74.4,0.12,100.5,AOK
M001,2024-05-13T10:49:03Z,64.2,0.03,98.8,AOK
M002,2024-05-13T10:49:00Z,81.5,0.53,101.3,AOK
M003,2024-05-13T10:49:05Z,77.3,0.03,99.0,AOK
M004,2024-05-13T10:49:05Z,82.9,0.34,99.1,AOK
M005,2024-05-13T10:49:05Z,78.3,0.15,99.7,AOK
M006,2024-05-13T10:49:17Z,81.2,0.08,100.5,AOK
M007,2024-05-13T10:49:22Z,67.6,0.10,103.4,AOK
M008,2024-05-13T10:49:17Z,80.8,0.12,100.5,AOK
M009,2024-05-13T10:49:41Z,73.4,0.12,98.7,AOK
M010,2024-05-13T10:49:34Z,70.8,0.11,100.0,AOK
M001,2024-05-13T10:49:56Z,67.1,0.01,100.0,AOK
M002,2024-05-13T10:49:59Z,81.2,0.54,100.6,AOK
M003,2024-05-13T10:50:07Z,78.8,0.07,100.0,AOK
M004,2024-05-13T10:50:10Z,83.5,0.34,98.2,AOK
M005,2024-05-13T10:50:17Z,71.3,0.22,99.7,AOK
M006,2024-05-13T10:50:27Z,77.0,0.08,100.4,AOK
M007,2024-05-13T10:50:15Z,65.0,0.10,102.9,AOK
M008,2024-05-13T10:50:16Z,81.5,0.15,100.8,AOK
M009,2024-05-13T10:50:29Z,74.4,0.20,99.4,AOK
M010,2024-05-13T10:50:18Z,75.4,0.08,100.4,AOK
M001,2024-05-13T10:50:59Z,68.0,0.09,99.1,AOK
M002,2024-05-13T10:51:04Z,87.3,0.54,100.9,WARN
M003,2024-05-13T10:51:04Z,75.7,0.16,99.1,AOK
M004,2024-05-13T10:51:20Z,87.0,0.40,98.5,WARN
M005,2024-05-13T10:51:18Z,73.2,0.11,99.0,AOK
M006,2024-05-13T10:51:22Z,76.2,0.09,100.2,AOK
M007,2024-05-13T10:51:07Z,70.0,0.09,102.8,AOK
M008,2024-05-13T10:51:10Z,80.8,0.09,99.0,AOK
M009,2024-05-13T10:51:25Z,72.5,0.12,98.7,AOK
M010,2024-05-13T10:51:14Z,70.8,0.01,101.3,AOK
M001,2024-05-13T10:53:02Z,67.0,0.13,99.3,AOK
M002,2024-05-13T10:53:04Z,81.6,0.54,102.1,AOK
M003,2024-05-13T10:53:02Z,74.1,0.20,98.1,AOK
M004,2024-05-13T10:53:16Z,83.2,0.29,97.9,WARN
M005,2024-05-13T10:53:05Z,75.7,0.17,99.9,AOK
M006,2024-05-13T10:53:15Z,77.9,0.08,100.7,AOK
M007,2024-05-13T10:53:30Z,69.1,0.97,102.9,CRIT
M008,2024-05-13T10:53:05Z,79.0,0.13,99.2,AOK
M009,2024-05-13T10:53:28Z,74.4,0.13,98.6,AOK
M010,2024-05-13T10:53:15Z,72.0,0.05,100.8,AOK
M001,2024-05-13T10:53:58Z,69.4,0.02,98.9,AOK
M002,2024-05-13T10:54:01Z,75.1,0.60,101.5,WARN
M003,2024-05-13T10:54:05Z,74.7,0.15,100.6,AOK
M004,2024-05-13T10:54:06Z,84.0,0.32,98.6,AOK
M005,2024-05-13T10:54:17Z,70.4,0.16,99.3,AOK
M006,2024-05-13T10:54:24Z,75.1,0.07,100.3,AOK
M007,2024-05-13T10:54:27Z,69.1,0.11,101.8,AOK
M008,2024-05-13T10:54:05Z,81.6,0.09,99.4,AOK
M009,2024-05-13T10:54:21Z,73.8,0.14,105.4,WARN
M010,2024-05-13T10:54:30Z,70.9,0.01,100.9,AOK
M001,2024-05-13T10:55:00Z,66.9,0.01,100.2,AOK
M002,2024-05-13T10:54:57Z,79.9,0.54,101.4,AOK
M003,2024-05-13T10:55:11Z,74.7,0.22,99.1,AOK
M004,2024-05-13T10:54:58Z,84.5,0.28,98.6,AOK
M005,2024-05-13T10:55:10Z,77.6,0.69,99.4,WARN
M006,2024-05-13T10:55:04Z,80.0,0.08,100.8,AOK
M007,2024-05-13T10:55:26Z,71.2,0.08,102.0,AOK
M008,2024-05-13T10:55:05Z,79.0,0.14,98.9,AOK
M009,2024-05-13T10:55:12Z,75.1,0.15,99.3,AOK
M010,2024-05-13T10:55:22Z,72.7,0.09,100.0,AOK
